completed_date,cycle_time,blocked_days,key,url,issue_type,summary,status,resolution,Backlog,Committed,Elaboration,Build,QA,Done
2019-12-03,4.0,0,FAB-25006,https://immediateco.atlassian.net/browse/FAB-25006,Bug, Fix the static header on the search page,Ready For Release,Done,2019-11-29,2019-11-29,2019-12-02,2019-12-02,2019-12-02,2019-12-03
2019-12-03,4.0,0,FAB-25003,https://immediateco.atlassian.net/browse/FAB-25003,Bug,GF/Mig - Fix possible failures from Recipe Test run result,Ready For Release,Done,2019-11-29,2019-11-29,2019-11-29,2019-12-03,2019-12-03,2019-12-03
2019-11-29,1.0,0,FAB-24962,https://immediateco.atlassian.net/browse/FAB-24962,Technical Debt,Update Action Scheduler CRON to Only Run on Sites with AS Enabled,Ready For Release,Done,2019-11-28,2019-11-28,2019-11-28,2019-11-28,2019-11-28,2019-11-29
2019-12-02,4.0,0,FAB-24959,https://immediateco.atlassian.net/browse/FAB-24959,Story,Editorial Lists can be retrieved ByClient,Ready For Release,Done,2019-11-28,2019-11-28,2019-12-02,2019-12-02,2019-12-02,2019-12-02
2019-12-06,8.0,0,FAB-24958,https://immediateco.atlassian.net/browse/FAB-24958,Story,Reactions/ReadFeed - Switch from MongoDB to MySQL,Ready For Release,Done,2019-11-28,2019-11-28,2019-11-28,2019-12-03,2019-12-06,2019-12-06
2019-12-06,3.0,0,FAB-24955,https://immediateco.atlassian.net/browse/FAB-24955,Sub-Task,Mock ratings data,Ready For Release,Done,,,,2019-12-03,2019-12-03,2019-12-06
2019-12-06,8.0,0,FAB-24954,https://immediateco.atlassian.net/browse/FAB-24954,Story,Reactions/ReadMast - Provide Number of Reactions data via API for Display,Ready For Release,Done,2019-11-28,2019-11-28,2019-11-29,2019-12-03,2019-12-06,2019-12-06
2019-12-03,0.0,0,FAB-24948,https://immediateco.atlassian.net/browse/FAB-24948,Dev Task,Action Scheduler: Limit Number of Simultaneous Cron Runs ,Ready For Release,Done,2019-12-03,2019-12-03,2019-12-03,2019-12-03,2019-12-03,2019-12-03
2019-11-28,1.0,0,FAB-24939,https://immediateco.atlassian.net/browse/FAB-24939,Bug (subtask),Fix avatar background image for mobile,Ready For Release,Done,,,,,2019-11-27,2019-11-28
2019-11-27,0.0,0,FAB-24934,https://immediateco.atlassian.net/browse/FAB-24934,Dev Task,Create a Code Ownership in the UGR API,Complete,Done,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-11-27
2019-11-27,0.0,0,FAB-24933,https://immediateco.atlassian.net/browse/FAB-24933,Dev Task,Create a Code Ownership in the Settings API,Complete,Done,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-11-27
2019-11-28,1.0,0,FAB-24932,https://immediateco.atlassian.net/browse/FAB-24932,Bug (subtask),(Desktop) Search icon disappears when clicked,Ready For Release,Done,,,,,2019-11-27,2019-11-28
2019-11-28,1.0,0,FAB-24931,https://immediateco.atlassian.net/browse/FAB-24931,Bug (subtask),(Mobile) Right search button open and close icons are missing,Ready For Release,Done,,,,,2019-11-27,2019-11-28
2019-11-28,1.0,0,FAB-24930,https://immediateco.atlassian.net/browse/FAB-24930,Bug (subtask),(Mobile) Left hamburger open and close icons are missing,Ready For Release,Done,,,,,2019-11-27,2019-11-28
2019-11-28,1.0,0,FAB-24927,https://immediateco.atlassian.net/browse/FAB-24927,Story,Update header navigations,Ready For Release,Done,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-11-27,2019-11-28
2019-12-09,10.0,0,FAB-24917,https://immediateco.atlassian.net/browse/FAB-24917,Story,Reactions/ReadFeed - Display relative time on Reactions and Replies,Ready For Release,Done,2019-11-26,2019-11-29,2019-11-29,2019-12-03,2019-12-06,2019-12-09
2019-12-06,3.0,0,FAB-24910,https://immediateco.atlassian.net/browse/FAB-24910,Sub-Task,Mock ratings data,Ready For Release,Done,,,,2019-12-03,2019-12-03,2019-12-06
2019-12-06,1.0,0,FAB-24858,https://immediateco.atlassian.net/browse/FAB-24858,Bug,See More button padding,Ready For Release,Done,2019-11-22,2019-12-05,2019-12-05,2019-12-05,2019-12-05,2019-12-06
2019-11-25,3.0,0,FAB-24857,https://immediateco.atlassian.net/browse/FAB-24857,Bug (subtask),"All browsers: Breadcrumb appears in page content, instead of in header",Closed,Done,,,,,2019-11-22,2019-11-25
2019-11-27,2.0,0,FAB-24856,https://immediateco.atlassian.net/browse/FAB-24856,Bug (subtask),IE: Eyebrow nav appears at the very top of the page,Ready For Release,Done,,,,2019-11-25,2019-11-25,2019-11-27
2019-11-27,2.0,0,FAB-24855,https://immediateco.atlassian.net/browse/FAB-24855,Bug (subtask),Edge + IE: Placeholder text should be light grey but appears very dark,Ready For Release,Done,,,,2019-11-25,2019-11-25,2019-11-27
2019-11-27,2.0,0,FAB-24854,https://immediateco.atlassian.net/browse/FAB-24854,Bug (subtask),IE: Megamenu has a scrollbar and doesn't expand when hovered over,Ready For Release,Done,,,,2019-11-25,2019-11-25,2019-11-27
2019-12-05,14.0,0,FAB-24844,https://immediateco.atlassian.net/browse/FAB-24844,Bug,Unable to import properly into postman via API.,Ready For Release,Done,2019-11-21,2019-11-21,2019-11-26,2019-12-02,2019-12-02,2019-12-05
2019-12-06,16.0,0,FAB-24824,https://immediateco.atlassian.net/browse/FAB-24824,Story,Collections API: Update to use IM Service Authorisation,Ready For Release,Done,2019-11-20,2019-11-20,2019-11-21,2019-12-02,2019-12-05,2019-12-06
2019-11-20,0.0,0,FAB-24816,https://immediateco.atlassian.net/browse/FAB-24816,Story,GFMig/UserData - Setup SFTP Server for User Image Transfer,Ready For Release,Done,2019-11-20,2019-11-20,2019-11-20,2019-11-20,2019-11-20,2019-11-20
2019-11-20,0.0,0,FAB-24815,https://immediateco.atlassian.net/browse/FAB-24815,Sub-Task,Call to action - Discard reply,Complete,Done,,,,2019-11-20,,2019-11-20
2019-11-27,6.0,0,FAB-24808,https://immediateco.atlassian.net/browse/FAB-24808,Epic,List card icons,Complete,Done,,,2019-11-21,2019-11-21,,2019-11-27
2019-11-25,5.0,0,FAB-24805,https://immediateco.atlassian.net/browse/FAB-24805,Dev Task,GF/Mig - Update IFT to handle API-Platform,Ready For Release,Done,2019-11-20,2019-11-20,2019-11-20,2019-11-21,2019-11-21,2019-11-25
2019-11-20,0.0,0,FAB-24801,https://immediateco.atlassian.net/browse/FAB-24801,Sub-Task,Feed - Reply pagination,Complete,Done,,,,2019-11-20,,2019-11-20
2019-11-20,0.0,0,FAB-24800,https://immediateco.atlassian.net/browse/FAB-24800,Sub-Task,Call to action - Add reply,Complete,Done,,,,2019-11-20,,2019-11-20
2019-11-22,2.0,0,FAB-24799,https://immediateco.atlassian.net/browse/FAB-24799,Sub-Task,Call to action - Add a reaction,Complete,Done,,,,2019-11-20,,2019-11-22
2019-11-21,1.0,0,FAB-24798,https://immediateco.atlassian.net/browse/FAB-24798,Sub-Task,Call to action - Add a rating,Complete,Done,,,,2019-11-20,,2019-11-21
2019-11-21,1.0,0,FAB-24797,https://immediateco.atlassian.net/browse/FAB-24797,Sub-Task,Masthead - Comment,Complete,Done,,,,2019-11-20,,2019-11-21
2019-11-21,1.0,0,FAB-24796,https://immediateco.atlassian.net/browse/FAB-24796,Sub-Task,Masthead - Rating,Complete,Done,,,,2019-11-20,,2019-11-21
2019-11-28,9.0,0,FAB-24770,https://immediateco.atlassian.net/browse/FAB-24770,Story,Desktop-only Hub navigation,Ready For Release,Done,2019-11-19,2019-11-19,2019-11-21,2019-11-21,2019-11-27,2019-11-28
2019-12-09,21.0,0,FAB-24718,https://immediateco.atlassian.net/browse/FAB-24718,Bug,GF/Mig - Remove HTML tags from Description field - Editorial Lists,Ready For Release,Done,2019-11-18,2019-11-18,2019-11-19,2019-12-03,2019-12-05,2019-12-09
2019-11-29,11.0,0,FAB-24707,https://immediateco.atlassian.net/browse/FAB-24707,Story,Terraform scripts refactor and Production environment on Ireland,Closed,Done,2019-11-18,2019-11-18,2019-11-18,2019-11-20,2019-11-28,2019-11-29
2019-11-21,1.0,0,FAB-24705,https://immediateco.atlassian.net/browse/FAB-24705,Sub-Task,Feature switch for avatars to display or not,Ready For Release,Done,,,,2019-11-20,2019-11-20,2019-11-21
2019-11-20,2.0,0,FAB-24693,https://immediateco.atlassian.net/browse/FAB-24693,Story,Cleanup unused GoodFood Mongo Atlas clusters,Ready For Release,Done,2019-11-18,2019-11-18,2019-11-18,2019-11-20,2019-11-20,2019-11-20
2019-12-06,18.0,0,FAB-24691,https://immediateco.atlassian.net/browse/FAB-24691,Story,Terraform Workspaces Cleanup,Ready For Release,Done,2019-11-18,2019-11-18,2019-11-18,2019-12-04,2019-12-06,2019-12-06
2019-11-27,12.0,0,FAB-24682,https://immediateco.atlassian.net/browse/FAB-24682,Story,Reactions/AdminDash - Configure API-Platform Admin Dashboard to Administer Reactions API,Ready For Release,Done,2019-11-15,2019-11-15,2019-11-18,2019-11-19,2019-11-27,2019-11-27
2019-11-19,4.0,0,FAB-24681,https://immediateco.atlassian.net/browse/FAB-24681,Bug,GF/Mig/TaxoHier - Timezone Conversion for Publish Date,Ready For Release,Done,2019-11-15,2019-11-15,2019-11-15,2019-11-19,2019-11-19,2019-11-19
2019-11-28,13.0,0,FAB-24677,https://immediateco.atlassian.net/browse/FAB-24677,Story,Reactions/Prototype - Add Reply and Show/Hide Reply  ,Ready For Release,Done,2019-11-15,2019-11-15,2019-11-15,2019-11-28,2019-11-28,2019-11-28
2019-11-29,15.0,0,FAB-24635,https://immediateco.atlassian.net/browse/FAB-24635,Spike,Reactions/ReadFeed - Complete Accessibility Audit of Reactions,Complete,Done,2019-11-14,2019-11-14,2019-11-15,2019-11-27,2019-11-29,2019-11-29
2019-11-25,10.0,0,FAB-24628,https://immediateco.atlassian.net/browse/FAB-24628,Story,Ordering of Saved Recipes to Most Recently added,Ready For Release,Done,2019-11-15,2019-11-15,2019-11-21,2019-11-21,2019-11-21,2019-11-25
2019-11-20,6.0,0,FAB-24626,https://immediateco.atlassian.net/browse/FAB-24626,Dev Task,GF/Mig - Update IFT to Remove Intro Field from SXS-Recipe,Ready For Release,Done,2019-11-14,2019-11-14,2019-11-14,2019-11-18,2019-11-19,2019-11-20
2019-11-21,7.0,0,FAB-24624,https://immediateco.atlassian.net/browse/FAB-24624,Bug,GF/Mig - Update IFT to Allow Skipping Stages,Ready For Release,Done,2019-11-14,2019-11-14,2019-11-14,2019-11-19,2019-11-21,2019-11-21
2019-11-28,13.0,1,FAB-24623,https://immediateco.atlassian.net/browse/FAB-24623,Story,Enable icons on static components in WP environment,Ready For Release,Done,2019-11-15,2019-11-15,2019-11-18,2019-11-18,2019-11-26,2019-11-28
2019-12-04,21.0,0,FAB-24614,https://immediateco.atlassian.net/browse/FAB-24614,Story,Users can upload an avatar in User Settings,Ready For Release,Done,2019-11-13,2019-11-13,2019-11-18,2019-11-21,2019-12-03,2019-12-04
2019-11-27,14.0,0,FAB-24613,https://immediateco.atlassian.net/browse/FAB-24613,Story,Users can see a default avatar in User Settings,Complete,Done,2019-11-13,2019-11-13,2019-11-18,2019-11-19,2019-11-27,2019-11-27
2019-11-20,6.0,0,FAB-24611,https://immediateco.atlassian.net/browse/FAB-24611,Bug (subtask),Nav menu text colour,Ready For Release,Done,,,,2019-11-14,2019-11-14,2019-11-20
2019-11-20,6.0,0,FAB-24610,https://immediateco.atlassian.net/browse/FAB-24610,Bug (subtask),Nav item spacing,Ready For Release,Done,,,,2019-11-14,2019-11-14,2019-11-20
2019-12-09,26.0,0,FAB-24607,https://immediateco.atlassian.net/browse/FAB-24607,Story,Reactions/ReadRate - Provide Ratings data via API for Display,Ready For Release,Done,2019-11-13,2019-11-13,2019-11-13,2019-12-03,2019-12-06,2019-12-09
2019-11-20,6.0,3,FAB-24603,https://immediateco.atlassian.net/browse/FAB-24603,Story,Add sticky behaviour for Static header on wordpress,Ready For Release,Done,2019-11-14,2019-11-14,2019-11-18,2019-11-18,2019-11-18,2019-11-20
2019-11-28,15.0,0,FAB-24598,https://immediateco.atlassian.net/browse/FAB-24598,Story,GF/Mig/UserData - Provide Drupal data dump to Avengers,Ready For Release,Done,2019-11-13,2019-11-13,2019-11-13,2019-11-19,2019-11-27,2019-11-28
2019-12-03,20.0,0,FAB-24597,https://immediateco.atlassian.net/browse/FAB-24597,Story,GF/Mig/UserData - Migrate User Images to S3 bucket,Ready For Release,Done,2019-11-13,2019-11-13,2019-11-13,2019-11-19,2019-12-03,2019-12-03
2019-11-27,13.0,2,FAB-24596,https://immediateco.atlassian.net/browse/FAB-24596,Story,Prevent CSS style clashes between static components and WP environment,Ready For Release,Done,2019-11-14,2019-11-14,2019-11-18,2019-11-19,2019-11-20,2019-11-27
2019-11-13,0.0,0,FAB-24589,https://immediateco.atlassian.net/browse/FAB-24589,Bug (subtask),Icon spacing on mobile,Ready For Release,Done,,,,2019-11-13,2019-11-13,2019-11-13
2019-11-27,9.0,0,FAB-24588,https://immediateco.atlassian.net/browse/FAB-24588,Story,Icon order on List cards,Complete,Done,2019-11-18,2019-11-18,2019-11-18,2019-11-18,2019-11-25,2019-11-27
2019-11-29,2.0,0,FAB-24582,https://immediateco.atlassian.net/browse/FAB-24582,Sub-Task,Postman/Newman tests of replies,Ready For Release,Done,,,,2019-11-27,2019-11-28,2019-11-29
2019-11-29,10.0,0,FAB-24581,https://immediateco.atlassian.net/browse/FAB-24581,Sub-Task,"Mock reply data, or use CSV export data",Ready For Release,Done,,,,2019-11-19,2019-11-22,2019-11-29
2019-11-29,17.0,0,FAB-24580,https://immediateco.atlassian.net/browse/FAB-24580,Sub-Task,"Enforce/Make configurable max. reply ""nesting"" level",Ready For Release,Done,,,,,2019-11-12,2019-11-29
2019-11-29,8.0,0,FAB-24579,https://immediateco.atlassian.net/browse/FAB-24579,Sub-Task,"Define Reaction relationship - 1:n parent:replies, 1:1 replies:parent",Ready For Release,Done,,,,2019-11-21,2019-11-22,2019-11-29
2019-11-28,16.0,0,FAB-24564,https://immediateco.atlassian.net/browse/FAB-24564,Technical Debt,SXS Recipe: We should use the default content input,Ready For Release,Done,2019-11-12,2019-11-12,2019-11-12,2019-11-26,2019-11-27,2019-11-28
2019-11-13,1.0,0,FAB-24560,https://immediateco.atlassian.net/browse/FAB-24560,Bug,Content API: Missing associated resource crashes the API,Ready For Release,Done,2019-11-12,2019-11-12,2019-11-12,2019-11-12,2019-11-13,2019-11-13
2019-11-13,1.0,0,FAB-24557,https://immediateco.atlassian.net/browse/FAB-24557,Spike,Investigate Failing Postman Tests on Remote Env,Complete,Done,2019-11-12,2019-11-12,2019-11-12,2019-11-12,2019-11-13,2019-11-13
2019-11-14,3.0,0,FAB-24533,https://immediateco.atlassian.net/browse/FAB-24533,Technical Debt,Update SXS to use IM Post Type Registration,Ready For Release,Done,2019-11-11,2019-11-11,2019-11-11,2019-11-12,2019-11-12,2019-11-14
2019-12-06,21.0,0,FAB-24523,https://immediateco.atlassian.net/browse/FAB-24523,Story,Reactions/ReadFeed - Run and Review CodeSniffer Inspections,Ready For Release,Done,,2019-11-15,2019-11-19,2019-12-06,,2019-12-06
2019-11-13,2.0,0,FAB-24520,https://immediateco.atlassian.net/browse/FAB-24520,Bug (subtask),Investigate and resolve why the options aren't appearing for Slate on Develop/Release,Ready For Release,Done,,,,2019-11-11,2019-11-13,2019-11-13
2019-11-22,8.0,0,FAB-24515,https://immediateco.atlassian.net/browse/FAB-24515,Story,Reusable user auth package,Ready For Release,Done,2019-11-14,2019-11-14,2019-11-14,2019-11-18,2019-11-19,2019-11-22
2019-11-11,3.0,0,FAB-24511,https://immediateco.atlassian.net/browse/FAB-24511,Sub-Task,Reapply the styles to the renamed components,Complete,Done,,,,2019-11-08,,2019-11-11
2019-11-20,6.0,0,FAB-24491,https://immediateco.atlassian.net/browse/FAB-24491,Story,Reactions/ReadFeed - Define Indexes on MongoDB Documents ,Ready For Release,Done,2019-11-14,2019-11-14,2019-11-14,2019-11-19,2019-11-19,2019-11-20
2019-11-15,7.0,0,FAB-24489,https://immediateco.atlassian.net/browse/FAB-24489,Spike,Reactions - Create App to Export Package to Bucket,Complete,Done,2019-11-08,2019-11-08,2019-11-08,2019-11-08,2019-11-15,2019-11-15
2019-11-08,0.0,0,FAB-24488,https://immediateco.atlassian.net/browse/FAB-24488,Sub-Task,Rename 'CommentsList' to 'ReactionsList',Complete,Done,,,,2019-11-08,,2019-11-08
2019-11-08,0.0,0,FAB-24486,https://immediateco.atlassian.net/browse/FAB-24486,Sub-Task,Rename 'Reactions' to 'ReactionsFeed',Complete,Done,,,,2019-11-08,,2019-11-08
2019-11-08,0.0,0,FAB-24484,https://immediateco.atlassian.net/browse/FAB-24484,Sub-Task,Rename 'Comment' to 'Reaction',Complete,Done,,,2019-11-08,2019-11-08,,2019-11-08
2019-11-29,22.0,0,FAB-24473,https://immediateco.atlassian.net/browse/FAB-24473,Design Story,Design vertical cards for Lists,Complete,Done,2019-11-07,2019-11-07,2019-11-07,2019-11-19,2019-11-29,2019-11-29
2019-11-29,22.0,0,FAB-24469,https://immediateco.atlassian.net/browse/FAB-24469,Story,Reactions/ReadFeed - Provide Replies data via API for Display,Ready For Release,Done,2019-11-07,2019-11-07,2019-11-07,2019-11-21,2019-11-25,2019-11-29
2019-11-25,18.0,0,FAB-24465,https://immediateco.atlassian.net/browse/FAB-24465,Dev Task,Extract Content API Authentication into a reusable package,Ready For Release,Done,2019-11-07,2019-11-07,2019-11-07,2019-11-18,2019-11-20,2019-11-25
2019-11-08,1.0,0,FAB-24463,https://immediateco.atlassian.net/browse/FAB-24463,Bug (subtask),iPhone- Bottom phone navigation blocks last menuitem,Ready For Release,Done,,,,2019-11-07,2019-11-07,2019-11-08
2019-11-12,5.0,0,FAB-24462,https://immediateco.atlassian.net/browse/FAB-24462,Sub-Task,Fully Map Common Reaction Properties in ReactionBase,Complete,Done,,,,2019-11-07,2019-11-12,2019-11-12
2019-11-08,1.0,0,FAB-24460,https://immediateco.atlassian.net/browse/FAB-24460,Bug (subtask),Gap appears between menuitems and quicklinks,Ready For Release,Done,,,,2019-11-07,2019-11-07,2019-11-08
2019-11-19,7.0,0,FAB-24455,https://immediateco.atlassian.net/browse/FAB-24455,Story,MyHub: Un-styled sidebar,Ready For Release,Done,2019-11-12,2019-11-12,2019-11-12,2019-11-18,2019-11-18,2019-11-19
2019-11-19,1.0,0,FAB-24454,https://immediateco.atlassian.net/browse/FAB-24454,Story,MyHub: Add blank pages for all known routes,Ready For Release,Done,2019-11-18,2019-11-18,2019-11-18,2019-11-18,2019-11-18,2019-11-19
2019-11-15,9.0,0,FAB-24450,https://immediateco.atlassian.net/browse/FAB-24450,Story, Send Customizer Sponsor settings actual values to Settings API,Closed,Done,2019-11-06,2019-11-06,2019-11-07,,,2019-11-15
2019-11-06,0.0,0,FAB-24449,https://immediateco.atlassian.net/browse/FAB-24449,Sub-Task,Change Author/User from EmbeddedDocument to ReferencedDocument,Complete,Done,,,,2019-11-06,,2019-11-06
2019-11-08,2.0,0,FAB-24447,https://immediateco.atlassian.net/browse/FAB-24447,Bug (subtask),Mobile menu 2nd level is distorted,Ready For Release,Done,,,,,2019-11-06,2019-11-08
2019-11-07,1.0,0,FAB-24446,https://immediateco.atlassian.net/browse/FAB-24446,Sub-Task,Create Base Reaction mapped superclass,Complete,Done,,,,2019-11-06,,2019-11-07
2019-12-05,23.0,0,FAB-24444,https://immediateco.atlassian.net/browse/FAB-24444,Story,Add Show more button information to Lists endpoint,Ready For Release,Done,2019-11-07,2019-11-12,2019-11-12,2019-12-03,2019-12-04,2019-12-05
2019-12-05,23.0,0,FAB-24443,https://immediateco.atlassian.net/browse/FAB-24443,Story,Add Schema Choice and Recipe Schema information to Lists endpoint,Ready For Release,Done,2019-11-07,2019-11-12,2019-11-12,2019-12-04,2019-12-04,2019-12-05
2019-11-27,14.0,0,FAB-24426,https://immediateco.atlassian.net/browse/FAB-24426,Story,Reactions/Prototype - Add Reaction and Add Rating,Ready For Release,Done,2019-11-13,2019-11-13,2019-11-13,2019-11-19,2019-11-25,2019-11-27
2019-11-06,0.0,0,FAB-24423,https://immediateco.atlassian.net/browse/FAB-24423,Sub-Task,Style the Comment organism,Complete,Done,,,,2019-11-06,,2019-11-06
2019-11-08,2.0,0,FAB-24419,https://immediateco.atlassian.net/browse/FAB-24419,Bug (subtask),Columns are vertically misaligned,Ready For Release,Done,,,,,2019-11-06,2019-11-08
2019-11-08,2.0,0,FAB-24418,https://immediateco.atlassian.net/browse/FAB-24418,Bug (subtask),Large blank space appears in dropdown menu items,Ready For Release,Done,,,,,2019-11-06,2019-11-08
2019-11-08,2.0,0,FAB-24417,https://immediateco.atlassian.net/browse/FAB-24417,Bug (subtask),Large screen causes megamenu to misalign,Ready For Release,Done,,,,,2019-11-06,2019-11-08
2019-11-14,8.0,0,FAB-24412,https://immediateco.atlassian.net/browse/FAB-24412,Discovery Story,User Avatars in User settings,Complete,Done,,,2019-11-06,2019-11-07,2019-11-11,2019-11-14
2019-11-13,6.0,0,FAB-24402,https://immediateco.atlassian.net/browse/FAB-24402,Sub-Task,Create a twig template to build the custom nav markup,Ready For Release,Done,,,,2019-11-07,2019-11-12,2019-11-13
2019-11-20,14.0,0,FAB-24401,https://immediateco.atlassian.net/browse/FAB-24401,Sub-Task,Style the FE,Ready For Release,Done,,,,2019-11-06,2019-11-06,2019-11-20
2019-12-06,22.0,0,FAB-24399,https://immediateco.atlassian.net/browse/FAB-24399,Bug,Reactions/ReadFeed - Remove Postgres service from docker-compose.yml breaks PHP-FPM,Ready For Release,Done,2019-11-14,2019-11-14,2019-11-19,2019-12-06,2019-12-06,2019-12-06
2019-11-11,3.0,0,FAB-24396,https://immediateco.atlassian.net/browse/FAB-24396,Sub-Task,Style the buttons,Complete,Done,,,2019-11-08,2019-11-11,,2019-11-11
2019-11-06,1.0,0,FAB-24394,https://immediateco.atlassian.net/browse/FAB-24394,Sub-Task,Style the ProfileDetails molecule,Complete,Done,,,,2019-11-05,,2019-11-06
2019-11-06,1.0,0,FAB-24388,https://immediateco.atlassian.net/browse/FAB-24388,Bug (subtask),Firefox/Safari - Pressing Tab while on page is never selecting megamenu,Closed,Done,,,,2019-11-05,2019-11-05,2019-11-06
2019-12-04,19.0,0,FAB-24383,https://immediateco.atlassian.net/browse/FAB-24383,Story,Reactions/NonHeadless - Surface on Non-headless post types,Closed,Done,2019-11-15,2019-11-15,,,,2019-12-04
2019-12-04,1.0,0,FAB-24382,https://immediateco.atlassian.net/browse/FAB-24382,Spike,Reactions/NonHeadless - Investigate Surfacing ReactJS Component on Non-headless post types,Closed,Done,2019-12-03,2019-12-03,2019-12-03,,,2019-12-04
2019-11-11,6.0,0,FAB-24377,https://immediateco.atlassian.net/browse/FAB-24377,Sub-Task,[SPIKE] Research - api-platform.com docs - advanced techniques and overriding behaviour,Complete,Done,,,,2019-11-05,,2019-11-11
2019-11-06,2.0,0,FAB-24371,https://immediateco.atlassian.net/browse/FAB-24371,Sub-Task,"[SPIKE] Research - MongoDB (relationships?), feasibility of GraphQL",Complete,Done,,,,2019-11-04,,2019-11-06
2019-11-12,8.0,0,FAB-24369,https://immediateco.atlassian.net/browse/FAB-24369,Sub-Task,Write API backend tests (PHPUnit),Complete,Done,,,2019-11-04,,,2019-11-12
2019-11-12,8.0,0,FAB-24368,https://immediateco.atlassian.net/browse/FAB-24368,Sub-Task,Source/Create test data for mocking,Complete,Done,,,,2019-11-04,,2019-11-12
2019-11-06,2.0,0,FAB-24362,https://immediateco.atlassian.net/browse/FAB-24362,Sub-Task,Get up to speed with current state of codebase,Complete,Done,,,,2019-11-04,,2019-11-06
2019-11-06,2.0,0,FAB-24361,https://immediateco.atlassian.net/browse/FAB-24361,Story,Webpack config for [im-gf-static-components] plugin,Closed,Done,2019-11-04,2019-11-04,2019-11-04,,,2019-11-06
2019-11-11,7.0,0,FAB-24358,https://immediateco.atlassian.net/browse/FAB-24358,Story,GF/Mig - Test Migration of content going into Article ,Ready For Release,Done,2019-11-04,2019-11-04,2019-11-04,2019-11-11,2019-11-11,2019-11-11
2019-12-06,32.0,0,FAB-24351,https://immediateco.atlassian.net/browse/FAB-24351,Story,Logo on header should lead to homepage,Closed,Done,2019-11-04,2019-11-04,,,,2019-12-06
2019-11-06,2.0,0,FAB-24348,https://immediateco.atlassian.net/browse/FAB-24348,Bug (subtask),Edge - Keyboard navigation can not navigate to next menu item,Closed,Done,,,,,2019-11-04,2019-11-06
